slovak,russian,sources
bábika,кукла,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_51_2026-08-05_13-22-58_vocab.png
dôležitý,важный,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_50_2026-08-05_13-23-16_vocab.png
herečka,актриса,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_51_2026-08-05_13-22-07_vocab.png
hračka,игрушка,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_52_2026-08-05_13-22-58_vocab.png
hudba,музыка,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_50_2026-08-05_13-22-07_vocab.png
jar,весна,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_53_2026-08-05_13-21-34_vocab.png
jeseň,осень,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_51_2026-08-05_13-21-34_vocab.png
kefa,щётка,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_56_2026-08-05_13-22-58_vocab.png
kotva,якорь,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_54_2026-08-05_13-21-53_vocab.png
lekár,врач,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_54_2026-08-05_13-22-07_vocab.png
leto,лето,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_52_2026-08-05_13-21-34_vocab.png
loď,судно,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_57_2026-08-05_13-21-53_vocab.png
majúca závrat,испытывающая головокружение,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_54_2026-08-05_13-23-16_vocab.png
mapa,карта,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_53_2026-08-05_13-22-58_vocab.png
modrý,синий,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_56_2026-08-05_13-21-34_vocab.png
nešťastný,несчастный,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_52_2026-08-05_13-23-16_vocab.png
osem,восемь,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_57_2026-08-05_13-21-34_vocab.png
plachtiť,ходить под парусом,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_53_2026-08-05_13-21-53_vocab.png
pohľadnica,почтовая открытка,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_54_2026-08-05_13-22-58_vocab.png
pokojná,спокойная,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_51_2026-08-05_13-23-16_vocab.png
prístav,порт,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_55_2026-08-05_13-21-53_vocab.png
rok,год,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_55_2026-08-05_13-21-34_vocab.png
rádio,радио,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_51_2026-08-05_13-21-53_vocab.png
smädná,испытывающая жажду,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_56_2026-08-05_13-23-16_vocab.png
správy,новости,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_50_2026-08-05_13-21-53_vocab.png
televízia,телевидение,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_52_2026-08-05_13-21-53_vocab.png
unavený,уставший,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_55_2026-08-05_13-23-16_vocab.png
učebňa,класс,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_56_2026-08-05_13-22-07_vocab.png
učiteľka,учительница,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_55_2026-08-05_13-22-07_vocab.png
vodič,водитель,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_52_2026-08-05_13-22-07_vocab.png
zdravotná sestra,медсестра,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_53_2026-08-05_13-22-07_vocab.png
zima,зима,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_54_2026-08-05_13-21-34_vocab.png
časopis,журнал,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_55_2026-08-05_13-22-58_vocab.png
čln,лодка,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_56_2026-08-05_13-21-53_vocab.png
šálka,чашка,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_50_2026-08-05_13-22-58_vocab.png
šťastná,счастливая,F:\AI\Test\Первый сборник слов и предложения\Слова\6\photo_53_2026-08-05_13-23-16_vocab.png
